ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
09,003,0001,090030002837,2,09-003-0001-00,00068,34,01,09003000283701,01,1,1,37,05,2018,0101,009,221,1,,,,,,5
09,003,0001,090030002985,2,09-003-0001-00,00071,33,02,09003000298501,01,1,1,27,11,2019,0102,009,221,1,,,,,,5
09,003,0001,090030003111,2,09-003-0001-00,00073,35,02,09003000311101,01,1,3,21,04,2015,0501,009,415,3,06,2015,0301,1,03,5
09,003,0001,090030003143,2,09-003-0001-00,00074,43,04,09003000314301,01,1,1,35,03,2017,0501,009,221,3,03,2019,0501,1,99,5
09,003,0001,090030003179,2,09-003-0001-00,00075,40,01,09003000317901,01,1,1,22,05,2019,0101,009,213,2,,,,,,5
09,003,0001,090030003217,2,09-003-0001-00,00078,68,04,09003000321701,01,1,3,35,06,2018,0402,009,239,2,,,,,,5
09,003,0001,090030003232,2,09-003-0001-00,00078,68,01,09003000323201,01,1,1,39,11,2016,0102,009,221,3,10,2018,0301,1,01,5
09,003,0001,090030003262,2,09-003-0001-00,00079,35,01,09003000326201,01,1,1,30,09,2017,0501,009,446,3,11,2019,0301,1,03,5
09,003,0001,090030003302,2,09-003-0001-00,00080,34,01,09003000330201,01,1,1,30,09,2018,0501,009,221,1,,,,,,5
09,003,0001,090030003324,2,09-003-0001-00,00080,34,01,09003000332401,01,1,3,30,04,2019,0601,009,213,2,,,,,,5
09,003,0001,090030003503,2,09-003-0001-00,00088,33,01,09003000350301,01,1,3,48,05,2015,0102,009,221,1,,,,,,5
09,003,0001,090030003503,2,09-003-0001-00,00088,33,01,09003000350302,02,1,1,22,05,2015,0301,009,221,1,,,,,,5
09,003,0001,090030003594,2,09-003-0001-00,00088,33,01,09003000359401,01,1,3,27,10,2019,0501,009,423,2,,,,,,5
09,003,0001,090030003792,2,09-003-0001-00,00095,33,01,09003000379201,01,1,3,27,08,2015,0102,009,221,3,08,2015,0101,1,01,5
09,003,0001,090030003819,2,09-003-0001-00,00095,33,01,09003000381901,01,1,3,20,99,9999,9999,999,999,9,,,,,,5
09,003,0001,090030003821,2,09-003-0001-00,00095,33,01,09003000382101,01,1,3,18,08,2018,0501,009,213,3,02,2019,0301,1,03,5
09,003,0001,090030003830,2,09-003-0001-00,00095,33,01,09003000383001,01,1,3,30,08,2016,0301,009,423,2,,,,,,5
09,003,0001,090030003830,2,09-003-0001-00,00095,33,01,09003000383002,02,1,1,30,08,2016,0501,009,423,2,,,,,,5
09,003,0001,090030003980,2,09-003-0001-00,00097,34,02,09003000398001,01,1,1,38,06,2015,0102,009,221,1,,,,,,5
09,003,0001,090030003989,2,09-003-0001-00,00097,34,01,09003000398901,01,1,1,25,06,2018,0101,023,221,1,,,,,,5
09,003,0001,090030004085,2,09-003-0001-00,00101,33,01,09003000408501,01,1,1,33,09,2016,0102,002,221,1,,,,,,5
09,003,0001,090030004190,2,09-003-0001-00,00103,35,01,09003000419001,01,1,1,28,03,2020,0501,009,415,2,,,,,,5
09,003,0001,090030004258,2,09-003-0001-00,00105,34,01,09003000425801,01,1,3,36,02,2017,0401,009,135,2,,,,,,5
09,003,0001,090030004303,2,09-003-0001-00,00107,34,02,09003000430301,01,1,3,79,06,2015,9999,009,221,3,07,2015,0301,3,,5
09,003,0001,090030004355,2,09-003-0001-00,00108,39,02,09003000435501,01,1,3,21,07,2019,0501,009,214,2,,,,,,5
09,003,0001,090030004360,2,09-003-0001-00,00108,39,03,09003000436001,01,1,1,27,01,2017,0501,009,415,3,05,2017,0501,3,,5
09,003,0001,090030004360,2,09-003-0001-00,00108,39,03,09003000436002,02,1,1,28,01,2019,0501,017,415,3,06,2019,0501,1,03,5
09,003,0001,090030004366,2,09-003-0001-00,00109,34,04,09003000436601,01,1,1,29,03,2019,0102,009,999,2,,,,,,5
09,003,0001,090030004383,2,09-003-0001-00,00109,34,04,09003000438301,01,1,3,34,12,2019,0501,009,213,2,,,,,,5
09,003,0001,090030004388,2,09-003-0001-00,00109,34,04,09003000438801,01,1,3,18,09,2016,0604,009,408,3,09,2017,0301,1,03,5
09,003,0001,090030004453,2,09-003-0001-00,00112,36,04,09003000445301,01,1,1,29,01,2016,0102,009,213,2,,,,,,5
